HS Code,Level,Item Description,Unit,Basic Duty (SCH),Basic Duty (NTFN),Specific Duty (Rs),IGST,10% SWS,Total duty with SWS of 10% on BCD,Total Duty Specific,Pref. Duty (A),Import Policy ,Non Tariff Barriers,Export Policy,Remark,Basic Duty (SCH)_value,Basic Duty (SCH)_unit,Basic Duty (SCH)_display,Basic Duty (NTFN)_value,Basic Duty (NTFN)_unit,Basic Duty (NTFN)_display,Specific Duty (Rs)_value,Specific Duty (Rs)_unit,Specific Duty (Rs)_display,IGST_value,IGST_unit,IGST_display,10% SWS_value,10% SWS_unit,10% SWS_display,Total duty with SWS of 10% on BCD_value,Total duty with SWS of 10% on BCD_unit,Total duty with SWS of 10% on BCD_display,Total Duty Specific_value,Total Duty Specific_unit,Total Duty Specific_display,Pref. Duty (A)_value,Pref. Duty (A)_unit,Pref. Duty (A)_display,Export Policy_text,Export Policy_links
0801 12 90,---,Other,kg,70,,,0,7.0,77.0,,60,Free,Agri Permit,Free,Tariff,0.7,percentage,70.00%,,,,,,,0.0,percentage,0.00%,0.07,percentage,7.00%,0.77,percentage,77.00%,,,,0.6,percentage,60.00%,Free,[]
0801 19,--,Other:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0801 19 10,---,Fresh,kg,70,,,0,7.0,77.0,,60,Free,Agri Permit,Free,Tariff,0.7,percentage,70.00%,,,,,,,0.0,percentage,0.00%,0.07,percentage,7.00%,0.77,percentage,77.00%,,,,0.6,percentage,60.00%,Free,[]
0801 19 20,---,Dried,kg,70,,,0,7.0,77.0,,60,Free,Agri Permit,Free,Tariff,0.7,percentage,70.00%,,,,,,,0.0,percentage,0.00%,0.07,percentage,7.00%,0.77,percentage,77.00%,,,,0.6,percentage,60.00%,Free,[]
0801 19 90,---,Other,kg,70,,,0,7.0,77.0,,60,Free,Agri Permit,Free,Tariff,0.7,percentage,70.00%,,,,,,,0.0,percentage,0.00%,0.07,percentage,7.00%,0.77,percentage,77.00%,,,,0.6,percentage,60.00%,Free,[]
,-,Brazil nuts:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0801 21 00,--,In shell,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0801 22 00,--,Shelled,kg,30,,,0/12,0.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.0,percentage,0.00%,,,,,,,0.2,percentage,20.00%,Free,[]
,-,Cashew nuts:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0801 31 00,--,In shell,kg,2.5,,,5,0.25,7.8875,,20,Free,Agri Permit,Free,Tariff,0.025,percentage,2.50%,,,,,,,0.05,percentage,5.00%,0.0025,percentage,0.25%,0.078875,percentage,7.89%,,,,0.2,percentage,20.00%,Free,[]
0801 32,--,Shelled:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0801 32 10,---,"Cashew kernel, broken",kg,30,,,5,3.0,39.65,,20,Proh*,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.05,percentage,5.00%,0.03,percentage,3.00%,0.39649999999999996,percentage,39.65%,,,,0.2,percentage,20.00%,Free,[]
0801 32 20,---,"Cashew kernel, whole",kg,30,,,5,3.0,39.65,,20,Proh**,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.05,percentage,5.00%,0.03,percentage,3.00%,0.39649999999999996,percentage,39.65%,,,,0.2,percentage,20.00%,Free,[]
0801 32 90,---,Other,kg,30,,,5,3.0,39.65,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.05,percentage,5.00%,0.03,percentage,3.00%,0.39649999999999996,percentage,39.65%,,,,0.2,percentage,20.00%,Free,[]
,,"w.e.f. 1 May 2022- BCD against tariff item 0801 31 00, the entry substituted by 2.5%
[Clause 98(b) of Finance Act 2022]",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,Preferential rate of 20/60 % applicable in this heading,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,IGST in this Heading,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0801,,"Coconuts, fresh or dried, whether or not shelled or peeled
[SNo(47) in Ntfn 02-IGST/28.06.2017]",,,,,0,,,,,,,,Notes,,,,,,,,,,0.0,percentage,0.00%,,,,,,,,,,,,,,[]
0801,,"Brazil nuts, fresh, whether or not shelled or peeled
[SNo(48) in Ntfn 02-IGST/28.06.2017]",,,,,0,,,,,,,,Notes,,,,,,,,,,0.0,percentage,0.00%,,,,,,,,,,,,,,[]
0801,,"Brazil nuts, dried, whether or not shelled or peeled 
[SNo 14 in Sch II of Ntfn 01-IGST/28.06.2017]",,,,,12,,,,,,,,Notes,,,,,,,,,,0.12,percentage,12.00%,,,,,,,,,,,,,,[]
0801,,"Cashew nuts, whether or not shelled or peeled, desiccated coconuts
[SNo 27 in Sch I of Ntfn 01-IGST/28.06.2017]",,,,,5,,,,,,,,Notes,,,,,,,,,,0.05,percentage,5.00%,,,,,,,,,,,,,,[]
,,Import Policy,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0801 11 00,,"Desiccated coconuts import Prohibited .However, import is free if CIF value is Rs. 150/- and above per Kilogram - 40-Ntfn/08.01.2020 - Desiccated Coconut below Rs 150 per kg Prohibited. Free Policy for Others Continues",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,"MIP on Cashew Kernel
*08013210 – Prohibited - 
1. However, import is free if CIF value is above Rs. 680/- per Kg.
2. MIP conditions, however, shall not be applicable for imports by 100% Export Oriented Units (EOUs) and units in the SEZ.
3. SEZs and EoUs units shall not be allowed to sell the imported Cashew Kernels into Domestic Tariff Area (DTA).
**08013220 – Prohibited - 
1. However, import is free if CIF value is above Rs. 720/- per Kg.
2. MIP conditions, however, shall not be applicable for imports by 100% Export Oriented Units (EOUs) and units in the SEZ.
3. SEZs and EoUs units shall not be allowed to sell the imported Cashew Kernels into Domestic Tariff Area (DTA).
[Amended by DGFT Notification No. 59 /2015-2020 dated 21 February, 2023]
[08-Ntfn/12.06.2019 – MIP on Cashew Kernel (Broken/Whole) Enhanced]
Minimum Value of Rs. 288/kg on Broken Cashew Kernel and Rs. 400/kg on Cashew Kernel Whole 
[Ref: 53-Ntfn(RE)/02.12.2013]",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,Trade Must Declare Complete Description of Cashew Kernels in the Bills of Entry- Ref: 63-PN/19.11.2012 [DINDEX Code 1803]. See details in www.worldtradescanner.com,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0802,,"OTHER NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,-,Almonds:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0802 11 00,--,"In shell
[Notification rate is not applicable for import from US]",kg,Rs.42/ kg,Rs.35/ kg,,0/12,0.0,,,Rs 30 per kg,Free,Agri Permit,Free,Tariff,42.0,INR/kg,42.00 INR/kg,35.0,INR/kg,35.00 INR/kg,,,,0.0,INR/12,0.00 INR/12,0.0,percentage,0.00%,,,,,,,,,,Free,[]
0802 12 00,--,"Shelled
[Notification rate is not applicable for import from US]",kg,Rs.120/ kg,Rs.100/ kg,,0/12,0.0,,,Rs 95 per kg,Free,Agri Permit,Free,Tariff,120.0,INR/kg,120.00 INR/kg,100.0,INR/kg,100.00 INR/kg,,,,0.0,INR/12,0.00 INR/12,0.0,percentage,0.00%,,,,,,,,,,Free,[]
,-,Hazelnuts or filberts (Corylus spp.):,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0802 21 00,--,In shell,kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0802 22 00,--,Shelled,kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
,-,Walnuts:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0802 31 00,--,"In shell
[Notification rate is not applicable for import from US]",kg,120,100,,5,0.0,110.0,,20,Free,Agri Permit,Free,Tariff,1.2,percentage,120.00%,1.0,percentage,100.00%,,,,0.05,percentage,5.00%,0.0,percentage,0.00%,1.1,percentage,110.00%,,,,0.2,percentage,20.00%,Free,[]
0802 32 00,--,Shelled,kg,100,,,5,0.0,110.0,,20,Free,Agri Permit,Free,Tariff,1.0,percentage,100.00%,,,,,,,0.05,percentage,5.00%,0.0,percentage,0.00%,1.1,percentage,110.00%,,,,0.2,percentage,20.00%,Free,[]
,-,Chestnuts (Castanea spp.):,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0802 41 00,--,In shell,kg,30,,,0/5,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/5,0.00 INR/5,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0802 42 00,--,Shelled,kg,30,,,0/5,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/5,0.00 INR/5,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
,-,Pistachios:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0802 51 00,--,In shell,kg,10,,,0/12,1.0,,,20,Free,Agri Permit,Free,Tariff,0.1,percentage,10.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.01,percentage,1.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0802 52 00,--,Shelled,kg,10,,,0/12,1.0,,,20,Free,Agri Permit,Free,Tariff,0.1,percentage,10.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.01,percentage,1.00%,,,,,,,0.2,percentage,20.00%,Free,[]
,-,Macadamia nuts:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0802 61 00,--,In shell,kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0802 62 00,--,Shelled,kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0802 70 00,-,Kola nuts (Cola spp.),kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0802 80,-,Areca nuts:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0802 80 10,---,Whole,kg,100,,,0/5,0.0,,,90,Proh*,Agri Permit,Free,Tariff,1.0,percentage,100.00%,,,,,,,0.0,INR/5,0.00 INR/5,0.0,percentage,0.00%,,,,,,,0.9,percentage,90.00%,Free,[]
0802 80 20,---,Split,kg,100,,,0/5,0.0,,,90,Proh**,Agri Permit,Free,Tariff,1.0,percentage,100.00%,,,,,,,0.0,INR/5,0.00 INR/5,0.0,percentage,0.00%,,,,,,,0.9,percentage,90.00%,Free,[]
0802 80 30,---,Ground,kg,100,,,0/5,0.0,,,90,Proh**,Agri Permit,Free,Tariff,1.0,percentage,100.00%,,,,,,,0.0,INR/5,0.00 INR/5,0.0,percentage,0.00%,,,,,,,0.9,percentage,90.00%,Free,[]
0802 80 90,---,Other,kg,100,,,0/5,0.0,,,90,Proh**,Agri Permit,Free,Tariff,1.0,percentage,100.00%,,,,,,,0.0,INR/5,0.00 INR/5,0.0,percentage,0.00%,,,,,,,0.9,percentage,90.00%,Free,[]
,-,Other:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0802 91 00,--,"Pine nuts, in shell",Kg,100,,,0/12,0.0,,,90,Free,,Free,Tariff,1.0,percentage,100.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.0,percentage,0.00%,,,,,,,0.9,percentage,90.00%,Free,[]
0802 92 00,--,"Pine nuts, shelled",Kg,100,,,0/12,0.0,,,90,Free,,Free,Tariff,1.0,percentage,100.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.0,percentage,0.00%,,,,,,,0.9,percentage,90.00%,Free,[]
0802 99 00,--,Other,kg,100,,,0/12,0.0,,,90,Free,,Free,Tariff,1.0,percentage,100.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.0,percentage,0.00%,,,,,,,0.9,percentage,90.00%,Free,[]
,,"w.e.f. 1 May 2022- BCD against tariff item 0802 51 00, 0802 52 00 the entry substituted by 10%
[Clause 98(b) of Finance Act 2022]",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,"HS2022 Changes in this heading w.e.f. 1 Jan 2022 by Finance Act, 2021.",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,Preferential rate of Rs. 30/95 per kg.; 20%/90% applicable in this heading,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,Schedule Rate of Basic Customs Duty in headings Hiked by 48/20.06.2018:,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,0802 11 00 – Rs. 42/kg from Rs. 35/kg,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,0802 12 00 – Rs. 120/kg from Rs. 100/kg,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,0802 31 00 – 120% from 100%,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,0802 31 00 – 100% from 30% by Ntfn 45/23.05.2018,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,0802 32 00 – 100% from 30% by Finance Bill 2021,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,Basic Duty Exemption,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0802 11 00,,"All goods
[SNo(24A) in Ntfn 50-Customs/ 2017 dated 30.06.2017]",,,Rs. 35 per kg,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0802 12 00,,"All goods
[SNo(24B) in Ntfn 50-Customs/ 2017 dated 30.06.2017]",,,Rs. 100 per kg,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,[SNo(26) in Ntfn 50-Customs/ 2017 dated 30.06.2017; Omitted by 02/01.02.2022],,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0802 31 00,,"All goods
[SNo(26A) in Ntfn 50-Customs/ 2017 dated 30.06.2017]",,,100,,,,,,,,,,Notes,,,,1.0,percentage,100.00%,,,,,,,,,,,,,,,,,,,,[]
0802 99 00,,"Pecan Nuts
[SNo(26B) in Ntfn 50-Customs/ 2017 dated 30.06.2017 as inserted by 02/01.02.2023]",,,30,,,,,,,,,,Notes,,,,0.3,percentage,30.00%,,,,,,,,,,,,,,,,,,,,[]
,,[SNo(28) in Ntfn 50-Customs/ 2017 dated 30.06.2017; Omitted by 02/01.02.2022],,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,IGST in this Heading,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0802,,"Other nuts, Other nuts, fresh such as Almonds, Hazelnuts or filberts (Coryius spp.), walnuts, Chestnuts (Castanea spp.), Pistachios, Macadamia nuts, Kola nuts (Cola spp.), Areca nuts, Pine Nuts, fresh, whether or not shelled or peeled
[SNo(49) in Ntfn 02-IGST/28.06.2017]",,,,,0,,,,,,,,Notes,,,,,,,,,,0.0,percentage,0.00%,,,,,,,,,,,,,,[]
0802,,"Dried areca nuts, whether or not shelled or peeled
[SNo 28 in Sch I of Ntfn 01-IGST/28.06.2017]",,,,,5,,,,,,,,Notes,,,,,,,,,,0.05,percentage,5.00%,,,,,,,,,,,,,,[]
0802,,"Dried chestnuts (singhada), whether or not shelled or peeled
[SNo 29 in Sch I of Ntfn 01-IGST/28.06.2017]",,,,,5,,,,,,,,Notes,,,,,,,,,,0.05,percentage,5.00%,,,,,,,,,,,,,,[]
0802,,"Other nuts, dried, whether or not shelled or peeled, such as Almonds, Hazelnuts or filberts (Coryius spp.), Chestnuts (Castanea spp.), Pistachios, Macadamia nuts, Kola nuts (Cola spp.), Pine nuts [other than dried areca nuts]
[SNo 15 in Sch II of Ntfn 01-IGST/28.06.2017]",,,,,12,,,,,,,,Notes,,,,,,,,,,0.12,percentage,12.00%,,,,,,,,,,,,,,[]
0802,,"Walnuts, whether or not shelled 
[SNo 29A in Sch I of Ntfn 01-IGST/28.06.2017]",,,,,5,,,,,,,,Notes,,,,,,,,,,0.05,percentage,5.00%,,,,,,,,,,,,,,[]
0802 80 10,,"*Import policy: Prohibited 
(a) However, import is Free if CIF value is Rs. 351/- or above per Kilogram.
b) MIP conditions, however, will not be applicable for imports by 100% Export Oriented Units (EOUs) and units in the SEZ subject to the condition that no DTA sale is allowed.
c) Import of 17,000 Metric Tonnes of Fresh (green) Areca Nut without Minimum Import Price (MIP) condition shall be allowed from Bhutan every year. Such imports are allowed only:
(i) through LCS Jaigaon (INJIGB) and LCS Chamurchi (INCHMB) only, and,
(ii) shall be subject to a valid port-specific Registration Certificate issued by DGFT.
[57-Ntfn/14.02.2023 – Chamurchi LCS Included in List Apart from Jaigaon for Green Areca Nut Import from Bhutan without MIP condition]
36-Ntfn/28.09.2022 – Import of 17,000 tonnes of Green Areca Nut without MIP Condition from Bhutan through Jaigaon LCD Allowed]",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
"0802 80 20
0802 80 30
0802 80 90",,"**Import policy: Prohibited – 
(a) However, Import is Free if CIF value is Rs. 351/- 251 162 and above per kilogram. 
(b) MIP conditions, however, will not be applicable for imports by 100% Export Oriented Units (EOUs) and units in the SEZ subject to the condition that no DTA sale is allowed.
[57-Ntfn/14.02.2023 - Minimum Import Price (MIP) of Areca Nuts Enhanced to Rs. 351/Kg from Rs. 251/Kg]
[Minimum price for import of Areca nuts enhanced –
Rs. 75/kg from Rs. 35/kg - 10-Ntfn(RE)/14.08.2012(DINDEX Code 1527). 
Rs. 110/kg from Rs. 75/kg - 12-RE/13.05.2013] (DINDEX Code 4045). 
Rs. 162/kg from Rs. 110/kg – 10-Ntfn/08.06.2015 (DINDEX Code 5974)
Rs. 251/kg from 162/kg – 35-Ntfn/17.01.2017. (DINDEX Code 7499).
Import of Areca Nuts below CIF Value Rs. 251 per kg Prohibited – 20-Ntfn/25.07.2018 (DINDEX Code 9130)
See details in www.worldtradescanner.com",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,Tariff Value: Tariff Value of US$3798/MT applicable on Areca nut in heading 0802 80 as on 02/02/2021.,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,"SWS exempted on goods in tariff items 0802 12 00, 0802 31 00, 0808 32 00 [SNo. 1 of 11/02.02.2018 WTO Binding – The SWS exemption is included in the duty calculation above.",,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,SWS exempted on Areca nut falling under sub-heading 0802 80. [SNo. 6 of 11/02.02.2018],,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0803,,"BANANAS, INCLUDING PLAINTAINS, FRESH OR DRIED",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0803 10,-,Plantains:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0803 10 10,---,Curry plantain,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0803 10 90,---,Other,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0803 90,-,Other:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0803 90 10,---,"Bananas, fresh",kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0803 90 90,---,Other,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
,,Prefrential rate of 20% applicable on this heading.,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,IGST on All goods in this heading by SNo(50) in Ntfn 02-IGST/28.06.2017,,,,,0,,,,,,,,Notes,,,,,,,,,,0.0,percentage,0.00%,,,,,,,,,,,,,,[]
0804,,"DATES, FIGS, PINEAPPLES, AVOCADOS, GUAVAS, MANGOES, AND MANGOSTEENS, FRESH OR DRIED",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0804 10,-,Dates:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0804 10 10,---,Fresh (excluding wet dates),kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0804 10 20,---,Soft (khayzur or wet dates),kg,20,,,0/12,2.0,,,20,Free,Agri Permit,Free,Tariff,0.2,percentage,20.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.02,percentage,2.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0804 10 30,---,Hard (chhohara or kharek),kg,20,,,0/12,2.0,,,20,Free,Agri Permit,Free,Tariff,0.2,percentage,20.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.02,percentage,2.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0804 10 90,---,Other,kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0804 20,-,Figs:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0804 20 10,---,Fresh,kg,30,,,0,3.0,33.0,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,percentage,0.00%,0.03,percentage,3.00%,0.33,percentage,33.00%,,,,0.2,percentage,20.00%,Free,[]
0804 20 90,---,Other,kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0804 30 00,-,Pineapples,kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
0804 40 00,-,Avocados,kg,30,,,0/12,3.0,,,20,Free,Agri Permit,Free,Tariff,0.3,percentage,30.00%,,,,,,,0.0,INR/12,0.00 INR/12,0.03,percentage,3.00%,,,,,,,0.2,percentage,20.00%,Free,[]
